90217	0
95968	1
95969	2
90218	3
90219	4
90220	5
92899	6
92900	7
92856	8
93851	9
93852	10
90221	11
95068	12
95069	13
95070	14
90222	15
90223	16
90224	17
116097	18
90225	19
90226	20
95501	21
95502	22
95503	23
116220	24
92231	25
117189	26
92237	27
102138	28
111380	29
92241	30
103763	31
103764	32
112746	33
92688	34
92689	35
92690	36
92691	37
103765	38
92694	39
92697	40
92692	41
92693	42
111369	43
92695	44
92696	45
99907	46
99909	47
99910	48
99881	49
99902	50
92858	51
92878	52
93220	53
92876	54
92877	55
92881	56
92883	57
102121	58
102124	59
101301	60
116219	61
101298	62
101300	63
96475	64
96484	65
94159	66
94160	67
94161	68
94162	69
98668	70
98669	71
95970	72
94163	73
94164	74
98670	75
102120	76
95071	77
95072	78
95073	79
95075	80
99880	81
99882	82
112727	83
95504	84
95505	85
95506	86
95507	87
95598	88
95933	89
95508	90
95934	91
95935	92
95936	93
95570	94
95571	95
95599	96
116221	97
95915	98
99905	99
116098	100
98671	101
95975	102
97349	103
103351	104
96478	105
96485	106
96486	107
112141	108
96758	109
96760	110
96761	111
102128	112
102129	113
98662	114
99630	115
99631	116
99632	117
98666	118
99629	119
99628	120
98672	121
99627	122
111973	123
111974	124
99903	125
99906	126
99904	127
112728	128
99953	129
116100	130
101297	131
101299	132
101303	133
102122	134
101305	135
102123	136
101302	137
101304	138
101306	139
101307	140
111969	141
112671	142
116157	143
102134	144
102137	145
112101	146
112102	147
112103	148
104638	149
116099	150
111370	151
112138	152
112139	153
112140	154
112142	155
住宿服务	156
公司企业	157
医疗服务	158
教育服务	159
生活服务	160
购物服务	161
餐饮服务	162
其他信息	163
交通设施服务	164
Clear.	165
Haze.	166
Sunny.	167
Passing_clouds.	168
Sprinkles._Passing_clouds.	169
Light_rain._Passing_clouds.	170
Light_rain._Fog.	171
Fog.	172
Light_rain._Mostly_cloudy.	173
Rain._Mostly_cloudy.	174
Light_rain._More_clouds_than_sun.	175
More_clouds_than_sun.	176
Overcast.	177
Partly_sunny.	178
Rain._Passing_clouds.	179
Scattered_clouds.	180
Fair	181
Mostly_cloudy.	182
Broken_clouds.	183
